	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	PRICE
0.0	-1.333590341630663	0.27629177318295367	-1.2878916618463805	-0.2709873156994237	0.3341646946593542	0.47186940265823646	-0.11447156129347648	-0.29783714709326886	-0.9842114278861278	-0.6696873929405275	-1.4763032105955005	0.43928703596363383	0.16409647238674266
1.0	-1.333590341630663	-0.49108053445278155	-0.5948967515280527	-0.2709873156994237	0.025586527478507898	0.3952350061775848	0.3705473644633074	-0.29715023300690435	-0.8700300367424758	-0.9883871048252315	-0.31166925014488167	0.43928703596363383	-0.09737062922013293
2.0	-1.333590341630663	-0.49108053445278155	-0.5948967515280527	-0.2709873156994237	0.025586527478507898	0.7754212328738048	-0.2596232106075505	-0.29715023300690435	-0.8700300367424758	-0.9883871048252315	-0.31166925014488167	0.3948815061257432	1.3298039670507307
3.0	-1.333590341630663	-0.49108053445278155	-1.3068179934307047	-0.2709873156994237	-0.023607093376409632	0.6823651800044421	-0.8012866824381194	-0.29629258893441807	-0.7558486455988237	-1.1064240351528996	0.10759897561734048	0.41452031539065815	1.1881759536803391
4.0	-1.333590341630663	-0.49108053445278155	-1.3068179934307047	-0.2709873156994237	-0.023607093376409632	0.7565114467292284	-0.5039028155507481	-0.29629258893441807	-0.7558486455988237	-1.1064240351528996	0.10759897561734048	0.43928703596363383	1.493220905555028
5.0	-1.333590341630663	-0.49108053445278155	-1.3068179934307047	-0.2709873156994237	-0.023607093376409632	-2.796821491438609	-0.34459002971822794	-0.29629258893441807	-0.7558486455988237	-1.1064240351528996	0.10759897561734048	0.40895598609893236	0.6761362130335409
6.0	-0.44273765374028734	0.0418169014053679	-0.4784270187014429	-0.2709873156994237	0.2715546317530955	0.19170599214780207	-0.06490758347891494	-0.2966855028520205	-0.5274858633115195	-0.5811596951947764	-1.522888569013526	0.42510345149452916	0.04425738415025779
7.0	-0.44273765374028734	0.0418169014053679	-0.4784270187014429	-0.2709873156994237	0.2715546317530955	0.2713261443354921	0.9794762347564954	-0.2963800684731787	-0.5274858633115195	-0.5811596951947764	-1.522888569013526	0.43928703596363383	0.5018248119622907
8.0	-0.44273765374028734	0.0418169014053679	-0.4784270187014429	-0.2709873156994237	0.2715546317530955	0.0021105047508651236	1.1175473158113465	-0.2962770039494464	-0.5274858633115195	-0.5811596951947764	-1.522888569013526	0.3272367186577034	-0.652988220134744
9.0	-0.44273765374028734	0.0418169014053679	-0.4784270187014429	-0.2709873156994237	0.2715546317530955	0.18772498453841757	0.6183672535361167	-0.29587758976173023	-0.5274858633115195	-0.5811596951947764	-1.522888569013526	0.3281095546250328	-0.3915211185278684
